Artist Name,Artist Genre,Artist Subgenre,Origin Country,Day,Popularity,Top Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,Unnamed: 19,Unnamed: 20
Biig Piig,,indie soul,Ireland,Wednesday,57,405 - Metronomy x Biig Piig,725,455,0,-10154,1,313,227,615,128,437,129987,265506,4,,
Biig Piig,,indie soul,Ireland,Wednesday,57,Body & Soul (feat. Biig Piig),845,506,7,-7599,0,362,203,111,146,748,103973,150700,4,,
billy woods,Hip Hop,alternative hip hop,U.S.,Wednesday,49,Woke Up and Asked Siri How I'm Gonna Die,605,607,6,-10347,1,344,244,0,226,309,118554,161087,4,,
billy woods,Hip Hop,alternative hip hop,U.S.,Wednesday,49,Soft Landing,501,676,8,-9146,1,436,454,0,54,483,83239,173647,4,,
billy woods,Hip Hop,alternative hip hop,U.S.,Wednesday,49,The Gods Must Be Crazy,495,673,6,-10409,0,404,238,544,214,343,103775,180772,4,,
billy woods,Hip Hop,alternative hip hop,U.S.,Wednesday,49,Landlines,496,613,6,-12551,1,495,842,0,632,545,112282,178781,3,,
billy woods,Hip Hop,alternative hip hop,U.S.,Wednesday,49,FaceTime,598,821,6,-7338,0,239,789,0,331,577,139198,212147,4,,
Brimheim,Indie,danish indie,Faroe Islands,Wednesday,28,Literally Everything,701,67,8,-8405,0,497,201,179,123,689,114954,230200,4,,
Brimheim,Indie,danish indie,Faroe Islands,Wednesday,28,Brand New Woman (feat. eee gee),583,651,2,-6887,1,393,5,528,215,554,140029,200785,4,,
Brimheim,Indie,danish indie,Faroe Islands,Wednesday,28,Exquisite Bliss,461,437,6,-9518,1,281,157,17,913,114,105587,209000,4,,
Brimheim,Indie,danish indie,Faroe Islands,Wednesday,28,Veronica Fever,598,333,2,-12766,0,277,752,217,784,354,114061,161979,4,,
Brimheim,Indie,danish indie,Faroe Islands,Wednesday,28,Call It What You Want,482,551,7,-8922,1,288,122,721,152,205,10206,224908,4,,
Chat Pile,Rock,noise rock,U.S.,Wednesday,34,Why,258,816,7,-7145,1,794,0.00045,643,287,28,124637,211573,3,,
Chat Pile,Rock,noise rock,U.S.,Wednesday,34,Slaughterelectronic,237,522,11,-7307,0,543,0.00256,432,11,451,99368,252183,4,,
Chat Pile,Rock,noise rock,U.S.,Wednesday,34,Pamela,213,722,9,-7304,1,481,206,276,469,358,149352,297333,4,,
Chat Pile,Rock,noise rock,U.S.,Wednesday,34,Dallas Beltway,266,719,1,-6812,1,472,279,64,517,422,84051,268061,4,,
Chat Pile,Rock,noise rock,U.S.,Wednesday,34,grimace_smoking_weed.jpeg,188,745,11,-6616,0,699,221,144,312,833,111765,545575,4,,
Debbie Sings,Pop,pop,Denmark,Wednesday,17,Godspeed,424,838,7,-4958,1,674,863,406,126,32,9147,184440,4,,
Debbie Sings,Pop,pop,Denmark,Wednesday,17,Angel,715,911,11,-402,0,632,104,631,137,767,150036,182400,4,,
Debbie Sings,Pop,pop,Denmark,Wednesday,17,Wish Upon A Star,62,765,0,-6456,1,116,129,176,137,626,162042,193201,4,,
Debbie Sings,Pop,pop,Denmark,Wednesday,17,Vampire Boi - Debbie Sings Remix,55,907,3,-5591,0,334,335,163,204,575,139965,190286,4,,
Debbie Sings,Pop,pop,Denmark,Wednesday,17,Put a Smile on Me,632,739,2,-4841,1,106,191,0.000041,281,665,173981,170494,4,,
Ivorian Doll,Electronic,trap queen,United Kingdom,Wednesday,37,Money Come (Remix),772,818,6,-3409,0,154,582,0,278,449,105995,215138,4,,
Ivorian Doll,Electronic,trap queen,United Kingdom,Wednesday,37,Rumours,749,749,3,-4639,0,277,131,0.00864,168,734,147198,121005,4,,
Ivorian Doll,Electronic,trap queen,United Kingdom,Wednesday,37,Holy F4k,857,575,2,-7505,0,388,466,0.00585,109,779,139834,195429,4,,
Ivorian Doll,Electronic,trap queen,United Kingdom,Wednesday,37,Faded (feat. 22Gz. Dezzie & Ivorian Doll) - Remix,922,692,8,-7462,0,275,232,0,899,756,143018,209590,4,,
Ivorian Doll,Electronic,trap queen,United Kingdom,Wednesday,37,Hot,8,899,10,-6476,0,253,237,0,428,894,148077,144379,4,,
Jake Blount,Folk,black americana,U.S.,Wednesday,26,The Man Was Burning,703,513,5,-7246,0,183,426,116,157,889,78573,155665,4,,
Jake Blount,Folk,black americana,U.S.,Wednesday,26,Goodbye. Honey. You Call That Gone,679,632,2,-1332,0,334,947,92,965,956,105059,130547,4,,
Jake Blount,Folk,black americana,U.S.,Wednesday,26,Where Did You Sleep Last Night,424,319,4,-9239,1,251,722,333,142,385,102337,236533,3,,
Jake Blount,Folk,black americana,U.S.,Wednesday,26,Didn't It Rain,79,638,10,-7684,0,231,766,0.00565,107,557,89963,185987,4,,
Jake Blount,Folk,black americana,U.S.,Wednesday,26,The Downward Road,76,745,10,-7267,0,91,688,0.000331,709,756,103029,216267,4,,
Kuunatic,Rock,japanese psychedelic rock,Japan,Wednesday,6,T?tiï¿½n,298,58,1,-6536,1,295,572,823,127,37,135132,278272,3,,
Kuunatic,Rock,japanese psychedelic rock,Japan,Wednesday,6,Dewbow,58,665,6,-5664,1,252,207,719,293,229,89983,342315,4,,
Kuunatic,Rock,japanese psychedelic rock,Japan,Wednesday,6,Desert Empress Pt. 1,809,823,0,-7043,1,696,0.000193,828,288,169,171475,380925,3,,
Kuunatic,Rock,japanese psychedelic rock,Japan,Wednesday,6,Full Moon Spree,518,817,1,-5289,1,134,969,0,947,48,120128,167509,4,,
Kuunatic,Rock,japanese psychedelic rock,Japan,Wednesday,6,Lava Naksh,306,919,8,-5697,0,7,137,0.00165,713,184,111505,400427,4,,
Minyo Crusaders,,min'yo,Japan,Wednesday,27,Cumbia del Monte Fuji,627,641,5,-5902,0,33,101,455,26,94,91991,264843,4,,
Minyo Crusaders,,min'yo,Japan,Wednesday,27,Yasugi Bushi - Bolero,552,365,1,-7784,0,372,818,0.00913,658,496,8217,357533,3,,
Minyo Crusaders,,min'yo,Japan,Wednesday,27,Kushimoto Bushi - Cumbia,593,664,7,-5807,1,494,392,182,475,705,177636,304173,4,,
Minyo Crusaders,,min'yo,Japan,Wednesday,27,Otemoyan - Reggae,762,598,5,-7063,1,303,672,907,103,845,141153,346373,4,,
Minyo Crusaders,,min'yo,Japan,Wednesday,27,Tora Joe,432,858,9,-5778,0,587,184,364,141,92,16009,267535,4,,
Phloem,Electronic,dancefloor dnb,United Kingdom,Wednesday,15,Dance With You,594,903,1,-4729,1,511,156,872,124,38,174037,291035,4,,
Phloem,Electronic,dancefloor dnb,United Kingdom,Wednesday,15,Utopia,522,679,8,-6784,0,45,525,863,728,4,173999,228424,4,,
Phloem,Electronic,dancefloor dnb,United Kingdom,Wednesday,15,Brixton Jam,561,892,6,-5172,1,408,335,905,922,301,174002,295662,4,,
Phloem,Electronic,dancefloor dnb,United Kingdom,Wednesday,15,Low Tide,49,835,10,-3769,0,384,401,844,106,214,17301,299763,4,,
Phloem,Electronic,dancefloor dnb,United Kingdom,Wednesday,15,Live A Little,517,684,5,-4981,0,505,165,858,831,213,174022,229366,4,,
El Fkn Piri,Latin,latin urbano,Spain,Wednesday,61,ABCD,719,747,0,-7705,1,468,149,176,164,347,125963,209854,4,,
El Fkn Piri,Latin,latin urbano,Spain,Wednesday,61,On Gvng,637,695,10,-4844,0,569,275,0,248,557,140105,231200,4,,
El Fkn Piri,Latin,latin urbano,Spain,Wednesday,61,4 Kvnto,656,57,4,-6007,0,697,579,0,113,607,160204,196200,4,,
El Fkn Piri,Latin,latin urbano,Spain,Wednesday,61,40'z & Shorty'z,575,537,1,-6477,0,21,282,0,122,49,1477,147700,4,,
El Fkn Piri,Latin,latin urbano,Spain,Wednesday,61,Step Bvck,74,593,10,-6929,0,124,441,0,17,623,122889,172000,4,,
Scowl,Punk,california hardcore,U.S.,Wednesday,38,Opening Night,4,984,1,-1968,0,652,0.00051,947,402,436,75928,127384,4,,
Scowl,Punk,california hardcore,U.S.,Wednesday,38,Shot Down,196,99,9,-1671,1,955,0.00906,657,376,248,139333,109160,4,,
Scowl,Punk,california hardcore,U.S.,Wednesday,38,Bloodhound,241,992,6,-3766,1,124,294,614,414,362,86519,94360,4,,
Scowl,Punk,california hardcore,U.S.,Wednesday,38,Psychic Dance Routine,564,939,11,-2485,0,453,13,226,303,32,119975,169962,4,,
Scowl,Punk,california hardcore,U.S.,Wednesday,38,Fuck Around,377,978,11,-356,0,113,254,28,514,336,104761,56547,5,,
Son Rompe Pera,,marimba mexicana,Mexico,Wednesday,34,No Hay Novedad (featuring Macha y el Bloque Depresivo),682,577,0,-5898,1,389,54,0,301,578,104075,214013,4,,
Son Rompe Pera,,marimba mexicana,Mexico,Wednesday,34,Pï¿½jaro Cenzontle,567,783,2,-5341,0,525,488,0.00423,938,874,173203,220867,4,,
Son Rompe Pera,,marimba mexicana,Mexico,Wednesday,34,Mi Vida sin tu Amor (featuring Miï¿½o),731,659,0,-5628,0,453,183,108,153,858,125888,328680,4,,
Son Rompe Pera,,marimba mexicana,Mexico,Wednesday,34,Cumbia Algarrobera (featuring Chico Trujillo),611,656,11,-4089,0,538,264,32,116,694,97616,289960,4,,
Son Rompe Pera,,marimba mexicana,Mexico,Wednesday,34,Los Chucos Suaves (featuring Macha),739,863,5,-5875,1,711,234,0,542,934,113971,192893,4,,
Lil Nas X,Hip Hop,lgbtq+ hip hop,U.S.,Thursday,74,INDUSTRY BABY (feat. Jack Harlow),741,691,10,-7395,0,672,221,0,476,892,150087,212353,4,,
Lil Nas X,Hip Hop,lgbtq+ hip hop,U.S.,Thursday,74,MONTERO (Call Me By Your Name),593,503,8,-6725,0,22,293,0,405,71,178781,137704,4,,
Lil Nas X,Hip Hop,lgbtq+ hip hop,U.S.,Thursday,74,THATS WHAT I WANT,737,846,1,-451,0,22,614,0,486,546,87981,143901,4,,
Lil Nas X,Hip Hop,lgbtq+ hip hop,U.S.,Thursday,74,STAR WALKIN' (League of Legends Worlds Anthem),637,715,2,-4971,0,455,148,0,892,308,141872,210576,4,,
Lil Nas X,Hip Hop,lgbtq+ hip hop,U.S.,Thursday,74,Old Town Road - Remix,878,619,6,-556,1,102,533,0,113,639,136041,157067,4,,
Burna Boy,World,afrobeats,Nigeria,Thursday,78,City Boys,808,634,2,-6764,0,172,851,0,127,569,10003,153347,4,,
Burna Boy,World,afrobeats,Nigeria,Thursday,78,Last Last,795,565,3,-4457,0,948,131,0,802,55,87925,172342,4,,
Burna Boy,World,afrobeats,Nigeria,Thursday,78,Location (feat. Burna Boy),812,496,9,-5969,0,297,271,0,955,55,109979,241293,4,,
Burna Boy,World,afrobeats,Nigeria,Thursday,78,For My Hand (feat. Ed Sheeran),87,479,9,-7779,1,165,161,157,209,717,104059,159124,4,,
Burna Boy,World,afrobeats,Nigeria,Thursday,78,Cheat On Me (feat. Dave),734,648,4,-5509,1,173,124,0,215,672,97984,222640,4,,
Central Cee,Hip Hop,melodic drill,United Kingdom,Thursday,80,Sprinter,916,583,1,-8067,1,241,186,0,798,661,141095,226383,4,,
Central Cee,Hip Hop,melodic drill,United Kingdom,Thursday,80,TOO MUCH,753,719,10,-5607,0,199,264,0,154,474,94977,203895,4,,
Central Cee,Hip Hop,melodic drill,United Kingdom,Thursday,80,Doja,911,573,6,-743,1,288,38,0,403,972,14004,97393,4,,
Central Cee,Hip Hop,melodic drill,United Kingdom,Thursday,80,LET GO,735,449,2,-9933,0,383,859,0,213,514,146016,175890,4,,
Central Cee,Hip Hop,melodic drill,United Kingdom,Thursday,80,Nice to meet you (feat. Central Cee),701,781,10,-6577,0,532,264,833,584,546,148299,162413,4,,
Latto,Electronic,trap queen,U.S.,Thursday,80,Seven (feat. Latto) (Explicit Ver.),79,831,11,-4185,1,44,312,0,797,872,124987,183551,4,,
Latto,Electronic,trap queen,U.S.,Thursday,80,Big Energy,937,793,11,-4431,0,115,453,0,341,794,106022,172540,4,,
Latto,Electronic,trap queen,U.S.,Thursday,80,Put It On Da Floor Again (feat. Cardi B),849,614,1,-7323,1,317,282,0,603,472,111363,185748,5,,
Latto,Electronic,trap queen,U.S.,Thursday,80,Peaches & Eggplants (feat. Latto & Sexyy Red),908,561,4,-7683,0,301,933,0,111,559,146018,217213,4,,
Latto,Electronic,trap queen,U.S.,Thursday,80,Lottery (feat. LU KALA),792,874,1,-2966,1,852,158,365,71,934,113969,186762,4,,
Tove Lo,Electronic,dance pop,Sweden,Thursday,71,Habits (Stay High),729,65,5,-3539,1,313,702,0.00669,829,347,11002,209160,4,,
Tove Lo,Electronic,dance pop,Sweden,Thursday,71,Heroes (we could be),521,754,5,-4144,1,634,366,0,239,353,125876,209867,4,,
Tove Lo,Electronic,dance pop,Sweden,Thursday,71,Talking Body,736,761,4,-5449,0,338,966,0,823,114,119999,238427,4,,
Tove Lo,Electronic,dance pop,Sweden,Thursday,71,Habits (Stay High) - Hippie Sabotage Remix,735,686,4,-7562,0,366,108,874,933,656,121011,258933,4,,
Tove Lo,Electronic,dance pop,Sweden,Thursday,71,Don't Say Goodbye (feat. Tove Lo),698,719,0,-4923,0,455,829,0.000401,326,364,120062,186700,4,,
070 Shake,Hip Hop,new jersey rap,U.S.,Thursday,70,Escapism.,538,742,2,-5355,1,114,138,0.00467,934,25,96107,272373,4,,
070 Shake,Hip Hop,new jersey rap,U.S.,Thursday,70,Escapism. - Sped Up,435,768,6,-5352,0,201,857,231,918,378,107588,239888,4,,
070 Shake,Hip Hop,new jersey rap,U.S.,Thursday,70,Danielle (smile on my face),646,865,0,-8707,1,698,407,228,124,221,1300,200572,4,,
070 Shake,Hip Hop,new jersey rap,U.S.,Thursday,70,Natural Habitat (feat. Ken Carson),352,8,8,-3141,1,396,69,0,281,903,14805,208210,4,,
070 Shake,Hip Hop,new jersey rap,U.S.,Thursday,70,Guilty Conscience,539,638,7,-6049,1,136,676,0,123,222,179822,213333,4,,
Busta Rhymes,Hip Hop,east coast hip hop,U.S.,Thursday,71,Don't Cha,877,637,1,-3493,0,101,516,0.000025,959,569,119988,272080,4,,
Busta Rhymes,Hip Hop,east coast hip hop,U.S.,Thursday,71,I Know What You Want (feat. Flipmode Squad),648,759,6,-4315,1,306,142,0,648,518,85996,324307,4,,
Busta Rhymes,Hip Hop,east coast hip hop,U.S.,Thursday,71,Break Ya Neck,82,809,4,-6759,0,251,443,175,613,737,83011,231240,4,,
Busta Rhymes,Hip Hop,east coast hip hop,U.S.,Thursday,71,Don't Cha - Radio Edit,892,659,1,-2769,0,996,732,0,229,576,120008,218080,4,,
Busta Rhymes,Hip Hop,east coast hip hop,U.S.,Thursday,71,OK (feat. Young Thug),77,686,1,-3824,0,176,831,0.000036,847,397,110051,246753,4,,
Denzel Curry,,dark trap,U.S.,Thursday,68,Walkin,557,654,11,-7201,0,196,134,0,291,386,135983,280000,4,,
Denzel Curry,,dark trap,U.S.,Thursday,68,Dynasties & Dystopia (from the series Arcane League of Legends),703,834,1,-5134,1,603,139,0,1,863,15397,178080,4,,
Denzel Curry,,dark trap,U.S.,Thursday,68,GOATED. (feat. Denzel Curry),946,484,0,-7833,1,164,116,0.000415,333,437,123058,197387,4,,
Denzel Curry,,dark trap,U.S.,Thursday,68,Tokyo Drifting,715,438,8,-9874,0,575,12,139,107,418,128905,216822,4,,
Denzel Curry,,dark trap,U.S.,Thursday,68,Ultimate,493,826,9,-3106,1,311,95,0.000342,252,75,112865,189974,4,,
Electric Wizard,Metal,doom metal,England,Thursday,43,Funeralopolis,811,658,11,-6804,1,51,0.00141,903,111,251,62825,523333,4,,
Electric Wizard,Metal,doom metal,England,Thursday,43,Vinum Sabbathi,342,709,8,-6151,0,615,0.000971,899,196,319,122242,185493,4,,
Electric Wizard,Metal,doom metal,England,Thursday,43,Dopethrone,171,724,3,-5444,1,555,0.000199,886,124,264,118944,636227,4,,
Electric Wizard,Metal,doom metal,England,Thursday,43,Barbarian,169,671,1,-5965,1,445,0.000194,873,127,178,123369,389467,4,,
Electric Wizard,Metal,doom metal,England,Thursday,43,Satanic Rites of Drugula,185,793,9,-8095,1,513,207,856,828,162,128174,365773,3,,
Hudson Mohawke,Electronic,future garage,Scotland,Thursday,45,Feel The Rush,817,768,10,-6567,0,114,547,455,83,659,126945,282000,4,,
Hudson Mohawke,Electronic,future garage,Scotland,Thursday,45,Cbat,58,52,9,-5999,1,421,42,827,904,582,159728,171720,4,,
Hudson Mohawke,Electronic,future garage,Scotland,Thursday,45,Ascending Into The Clouds (feat. Elisabeth Troy) - Edit,502,942,10,-5405,0,479,786,0.00357,567,353,141003,208218,4,,
Hudson Mohawke,Electronic,future garage,Scotland,Thursday,45,Set The Roof,847,677,8,-6202,1,31,377,188,192,55,133876,268779,4,,
Hudson Mohawke,Electronic,future garage,Scotland,Thursday,45,Silence Of Love,686,682,9,-7728,0,356,8,324,121,479,123975,250000,4,,
JID,Hip Hop,hip hop,U.S.,Thursday,75,Surround Sound (feat. 21 Savage & Baby Tate),575,56,5,-7302,1,478,173,0,257,471,75956,229938,4,,
JID,Hip Hop,hip hop,U.S.,Thursday,75,Enemy (with JID) - from the series Arcane League of Legends,728,783,11,-4424,0,266,237,0,434,555,77011,173381,4,,
JID,Hip Hop,hip hop,U.S.,Thursday,75,Dance Now (feat. Kenny Mason),786,475,1,-10902,1,248,919,0.000096,176,264,1350,227556,4,,
